city,timestamp,temperature,season
New York,2010-01-01,-0.055335953501227005,winter
New York,2010-01-02,-0.1962311908647536,winter
New York,2010-01-03,2.6933275168914514,winter
New York,2010-01-04,-8.18092917847645,winter
New York,2010-01-05,-2.7895949412086734,winter
New York,2010-01-06,5.147277535234105,winter
New York,2010-01-07,-0.45809580010625045,winter
New York,2010-01-08,1.6967554056706544,winter
New York,2010-01-09,4.586970696897696,winter
New York,2010-01-10,-6.436692944654943,winter
New York,2010-01-11,1.6289453974017745,winter
New York,2010-01-12,0.5960839403639274,winter
New York,2010-01-13,-3.238587242788214,winter
New York,2010-01-14,-3.996454834508247,winter
New York,2010-01-15,-5.823639419390506,winter
New York,2010-01-16,-4.985527981666374,winter
New York,2010-01-17,2.425659515196288,winter
New York,2010-01-18,6.195447818357827,winter
New York,2010-01-19,-1.3294830150183619,winter
New York,2010-01-20,3.2819530394063263,winter
New York,2010-01-21,-3.2173576065604563,winter
New York,2010-01-22,-3.1833911058736235,winter
New York,2010-01-23,-3.201618032074433,winter
New York,2010-01-24,-3.5288086658595064,winter
New York,2010-01-25,-5.748240773184312,winter
New York,2010-01-26,-0.5893928461157012,winter
New York,2010-01-27,-3.113729496976141,winter
New York,2010-01-28,1.060335673524179,winter
New York,2010-01-29,1.4862775337351084,winter
New York,2010-01-30,-2.7618129621555965,winter
New York,2010-01-31,-3.41784904486702,winter
New York,2010-02-01,4.167728974899441,winter
New York,2010-02-02,3.5311653078227954,winter
New York,2010-02-03,-3.6585500248003413,winter
New York,2010-02-04,9.495315327476646,winter
New York,2010-02-05,-2.246804440021663,winter
New York,2010-02-06,-3.712394937628189,winter
New York,2010-02-07,0.37936215388225647,winter
New York,2010-02-08,3.5707562294870723,winter
New York,2010-02-09,-0.7498913137725928,winter
New York,2010-02-10,8.658500329601418,winter
New York,2010-02-11,3.829446161637832,winter
New York,2010-02-12,-2.942686349958831,winter
New York,2010-02-13,1.4332766906173529,winter
New York,2010-02-14,8.803746534410603,winter
New York,2010-02-15,1.7370700604073663,winter
New York,2010-02-16,1.7447437644471333,winter
New York,2010-02-17,-6.48758921246327,winter
New York,2010-02-18,6.082848938840543,winter
New York,2010-02-19,9.735069094731132,winter
New York,2010-02-20,-1.4463438221122995,winter
New York,2010-02-21,-5.097666032367933,winter
New York,2010-02-22,4.08582680472121,winter
New York,2010-02-23,5.671930806999228,winter
New York,2010-02-24,-0.46784439472171696,winter
New York,2010-02-25,2.721991021993579,winter
New York,2010-02-26,-6.234608802173071,winter
New York,2010-02-27,8.32429492820364,winter
New York,2010-02-28,3.266517842674971,winter
New York,2010-03-01,7.018559642549148,spring
New York,2010-03-02,2.3768519748781394,spring
New York,2010-03-03,13.831494313381596,spring
New York,2010-03-04,10.758565387005577,spring
New York,2010-03-05,7.72500550199661,spring
New York,2010-03-06,12.913205276613553,spring
New York,2010-03-07,3.8078612318620975,spring
New York,2010-03-08,4.77091246720001,spring
New York,2010-03-09,8.049708293487706,spring
New York,2010-03-10,8.151088011053895,spring
New York,2010-03-11,4.033779316869461,spring
New York,2010-03-12,13.672102346554972,spring
New York,2010-03-13,10.622054292326029,spring
New York,2010-03-14,11.02868664807168,spring
New York,2010-03-15,11.824783804841488,spring
New York,2010-03-16,12.625337094356862,spring
New York,2010-03-17,6.814876378783039,spring
New York,2010-03-18,13.216952012705585,spring
New York,2010-03-19,15.308833489937097,spring
New York,2010-03-20,8.456383919148633,spring
New York,2010-03-21,2.5214647007547097,spring
New York,2010-03-22,14.67941891452498,spring
New York,2010-03-23,8.062849576362005,spring
New York,2010-03-24,9.151222680693474,spring
New York,2010-03-25,6.524256663303053,spring
New York,2010-03-26,14.566282325426094,spring
New York,2010-03-27,13.68423413773053,spring
New York,2010-03-28,7.6580194279630485,spring
New York,2010-03-29,8.207509071728897,spring
New York,2010-03-30,10.248429482451886,spring
New York,2010-03-31,13.530297739152237,spring
New York,2010-04-01,13.470908885831376,spring
New York,2010-04-02,17.77441184091554,spring
New York,2010-04-03,13.056678101390059,spring
New York,2010-04-04,8.331029344227943,spring
New York,2010-04-05,17.87738276436618,spring
New York,2010-04-06,5.843639808186968,spring
New York,2010-04-07,6.638361225776955,spring
New York,2010-04-08,22.41145961670622,spring
New York,2010-04-09,8.71185887475801,spring
New York,2010-04-10,10.482441648951678,spring
New York,2010-04-11,9.262933410892773,spring
New York,2010-04-12,4.653501515572099,spring
New York,2010-04-13,9.586047950704897,spring
New York,2010-04-14,12.322769820857376,spring
New York,2010-04-15,10.66337243819214,spring
New York,2010-04-16,9.842613339018952,spring
New York,2010-04-17,11.869795140714189,spring
New York,2010-04-18,15.11167063478595,spring
New York,2010-04-19,11.543267359046117,spring
New York,2010-04-20,4.221840004899409,spring
New York,2010-04-21,4.271181769985279,spring
New York,2010-04-22,13.7681523605323,spring
New York,2010-04-23,8.062553239296028,spring
New York,2010-04-24,11.233336729803446,spring
New York,2010-04-25,13.425053952796253,spring
New York,2010-04-26,21.553767491610067,spring
New York,2010-04-27,1.1592646646452642,spring
New York,2010-04-28,5.705969445656543,spring
New York,2010-04-29,7.950270708607369,spring
New York,2010-04-30,8.638792777305518,spring
New York,2010-05-01,12.887410778617475,spring
New York,2010-05-02,12.427211401508243,spring
New York,2010-05-03,18.92056678643054,spring
New York,2010-05-04,13.257920711759462,spring
New York,2010-05-05,5.586163068231759,spring
New York,2010-05-06,12.7072035607764,spring
New York,2010-05-07,7.522055621147236,spring
New York,2010-05-08,10.525789645657726,spring
New York,2010-05-09,14.119107629236161,spring
New York,2010-05-10,2.920909290326592,spring
New York,2010-05-11,11.922931100979671,spring
New York,2010-05-12,15.041875002287622,spring
New York,2010-05-13,13.804854159260366,spring
New York,2010-05-14,7.994974816964725,spring
New York,2010-05-15,4.648157345501934,spring
New York,2010-05-16,3.479920956841039,spring
New York,2010-05-17,15.843870953286858,spring
New York,2010-05-18,14.069160594387279,spring
New York,2010-05-19,13.26201020217722,spring
New York,2010-05-20,5.359768292079739,spring
New York,2010-05-21,15.324331374339724,spring
New York,2010-05-22,12.126013803294162,spring
New York,2010-05-23,22.8121553601486,spring
New York,2010-05-24,18.992854141193753,spring
New York,2010-05-25,6.4634935367797075,spring
New York,2010-05-26,15.03041158014722,spring
New York,2010-05-27,8.79705445296745,spring
New York,2010-05-28,10.466046950326058,spring
New York,2010-05-29,1.3477088633698142,spring
New York,2010-05-30,10.139522863401755,spring
New York,2010-05-31,15.461064338649159,spring
New York,2010-06-01,29.96731994053368,summer
New York,2010-06-02,33.142777247303194,summer
New York,2010-06-03,20.97306895117593,summer
New York,2010-06-04,21.531217058145888,summer
New York,2010-06-05,26.28014164077115,summer
New York,2010-06-06,24.16206324876293,summer
New York,2010-06-07,22.520911998127755,summer
New York,2010-06-08,25.114129205663456,summer
New York,2010-06-09,30.21059230313435,summer
New York,2010-06-10,22.20320626124449,summer
New York,2010-06-11,19.155971240431526,summer
New York,2010-06-12,29.153571506081757,summer
New York,2010-06-13,13.000368973219388,summer
New York,2010-06-14,27.745536009024068,summer
New York,2010-06-15,25.63426752540038,summer
New York,2010-06-16,27.22335116747162,summer
New York,2010-06-17,25.919559567838512,summer
New York,2010-06-18,32.17503648533285,summer
New York,2010-06-19,28.514575459210377,summer
New York,2010-06-20,22.912062887301246,summer
New York,2010-06-21,21.10098910154778,summer
New York,2010-06-22,25.664495499746007,summer
New York,2010-06-23,34.68596561308383,summer
New York,2010-06-24,26.413688199851435,summer
New York,2010-06-25,27.35377928573035,summer
New York,2010-06-26,21.41059034053021,summer
New York,2010-06-27,27.322652699463113,summer
New York,2010-06-28,24.534202494599278,summer
New York,2010-06-29,23.340202487430634,summer
New York,2010-06-30,21.09659915612923,summer
New York,2010-07-01,16.099993578230077,summer
New York,2010-07-02,30.680699522318374,summer
New York,2010-07-03,27.357677126303468,summer
New York,2010-07-04,28.99837631211569,summer
New York,2010-07-05,30.99058963292847,summer
New York,2010-07-06,22.884025568462956,summer
New York,2010-07-07,28.630372937196384,summer
New York,2010-07-08,19.529553947170882,summer
New York,2010-07-09,30.624198982682227,summer
New York,2010-07-10,22.997523846912753,summer
New York,2010-07-11,20.18937622296803,summer
New York,2010-07-12,26.339094675345223,summer
New York,2010-07-13,27.988400159395173,summer
New York,2010-07-14,26.93713997929652,summer
New York,2010-07-15,24.21581788020429,summer
New York,2010-07-16,31.40500181547925,summer
New York,2010-07-17,16.353900191826543,summer
New York,2010-07-18,26.99613161344607,summer
New York,2010-07-19,26.26455830669132,summer
New York,2010-07-20,20.390226355220992,summer
New York,2010-07-21,16.137310772749803,summer
New York,2010-07-22,17.10982456487385,summer
New York,2010-07-23,30.483293218248935,summer
New York,2010-07-24,30.918392530693684,summer
New York,2010-07-25,18.834767076379542,summer
New York,2010-07-26,27.979344261771395,summer
New York,2010-07-27,32.7897141660316,summer
New York,2010-07-28,25.615653253622096,summer
New York,2010-07-29,24.82898677023506,summer
New York,2010-07-30,21.790343483624444,summer
New York,2010-07-31,23.06254890323356,summer
New York,2010-08-01,17.628566136359815,summer
New York,2010-08-02,26.691399882311984,summer
New York,2010-08-03,20.125673909048054,summer
New York,2010-08-04,33.03731460590102,summer
New York,2010-08-05,22.19812902839139,summer
New York,2010-08-06,30.279096566987484,summer
New York,2010-08-07,30.285208389168183,summer
New York,2010-08-08,28.930647783921014,summer
New York,2010-08-09,29.007708913964397,summer
New York,2010-08-10,17.398328293880862,summer
New York,2010-08-11,33.455505246969516,summer
New York,2010-08-12,31.87197042888986,summer
New York,2010-08-13,19.492138789616426,summer
New York,2010-08-14,28.085955881816584,summer
New York,2010-08-15,23.43624099104546,summer
New York,2010-08-16,23.399739420250484,summer
New York,2010-08-17,29.09851655838376,summer
New York,2010-08-18,22.85377080441934,summer
New York,2010-08-19,19.24563718408375,summer
New York,2010-08-20,30.722849734147538,summer
New York,2010-08-21,18.554574670563937,summer
New York,2010-08-22,28.682587394263262,summer
New York,2010-08-23,25.323152699098046,summer
New York,2010-08-24,33.56562725950001,summer
New York,2010-08-25,20.30533577004433,summer
New York,2010-08-26,16.865208585850432,summer
New York,2010-08-27,22.28149950926094,summer
New York,2010-08-28,20.86986068103571,summer
New York,2010-08-29,20.024714719942967,summer
New York,2010-08-30,30.097372868870984,summer
New York,2010-08-31,24.994453093802388,summer
New York,2010-09-01,11.337475626139991,autumn
New York,2010-09-02,17.71933274220633,autumn
New York,2010-09-03,20.515755870810754,autumn
